CompositionID,HazardStudy,ChemicalID,ChemicalName,CASNumber,Contribution
2859,1242,349,ISOPROPYL ACETATE,108-21-4,25.0
2860,1242,99,WATER,7732-18-5,25.0
2861,1243,46,ISOPROPANOL,67-63-0,4.3
2862,1243,349,ISOPROPYL ACETATE,108-21-4,24.7
2863,1243,99,WATER,7732-18-5,71.0
2864,1244,349,ISOPROPYL ACETATE,108-21-4,2.0
2865,1244,99,WATER,7732-18-5,97.75
2866,1244,250,ACETIC ACID,64-19-7,0.25
2867,1245,48,METHANOL,67-56-1,100.0
2868,1246,48,METHANOL,67-56-1,100.0
2871,1248,36,HYDROGEN,1333-74-0,100.0
2872,1249,278,ISOBUTYRIC ANHYDRIDE,97-72-3,100.0
2873,1250,250,ACETIC ACID,64-19-7,0.25
2874,1250,349,ISOPROPYL ACETATE,108-21-4,2.0
2875,1250,99,WATER,7732-18-5,97.75
2879,1252,99,WATER,7732-18-5,97.75
2880,1252,349,ISOPROPYL ACETATE,108-21-4,2.0
2881,1252,250,ACETIC ACID,64-19-7,0.25
2882,1253,99,WATER,7732-18-5,28.0
2883,1253,349,ISOPROPYL ACETATE,108-21-4,50.0
2884,1253,46,ISOPROPANOL,67-63-0,10.0
2886,1255,345,ACETIC ANHYDRIDE,108-24-7,100.0
2887,1256,1392,BUTYRIC ANHYDRIDE,106-31-0,100.0
2888,1257,99,WATER,7732-18-5,71.0
2889,1257,46,ISOPROPANOL,67-63-0,4.3
2890,1257,349,ISOPROPYL ACETATE,108-21-4,24.6
2891,1259,99,WATER,7732-18-5,50.0
2892,1259,349,ISOPROPYL ACETATE,108-21-4,45.0
2893,1259,46,ISOPROPANOL,67-63-0,5.0
2896,1254,399,PROPIONIC ANHYDRIDE,123-62-6,100.0
2897,1258,399,PROPIONIC ANHYDRIDE,123-62-6,100.0
2898,1260,99,WATER,7732-18-5,0.707
2899,1260,349,ISOPROPYL ACETATE,108-21-4,0.25
2900,1260,46,ISOPROPANOL,67-63-0,0.043
2901,1261,99,WATER,7732-18-5,0.707
2902,1261,46,ISOPROPANOL,67-63-0,0.043
2903,1261,349,ISOPROPYL ACETATE,108-21-4,0.25
2904,1262,399,PROPIONIC ANHYDRIDE,123-62-6,100.0
2905,1263,399,PROPIONIC ANHYDRIDE,123-62-6,100.0
2906,1264,1392,BUTYRIC ANHYDRIDE,106-31-0,100.0
2907,1265,345,ACETIC ANHYDRIDE,108-24-7,100.0
2908,1267,24,CARBON MONOXIDE,630-08-0,45.0
